geometry/type,geometry/coordinates/0,geometry/coordinates/1,type,properties/state,properties/code,properties/name,properties/zone,properties/address,geometry
Point,81.16560600000001,25.730035,Feature,,KTCE,KATOGHAN,,,
Point,81.2620300824,25.678728805000002,Feature,,ASCE,ATHSARAI,,,
Point,77.706014,12.907633,Feature,Karnataka,CRLM,Carmelaram,SWR,"Bengaluru, Karnataka",
Point,74.047794,15.264834,Feature,Goa,CNR,CHANDAR,SWR,"CHANRA (chandor), Goa",
Point,83.07686199999999,18.262764,Feature,Andhra Pradesh,CMDP,Chimidipalli,ECoR,"Borra, Andhra Pradesh",
Point,82.5020212,25.160771699999998,Feature,,BDL,VINDHYACHAL,,,
Point,79.58628900000001,28.136577,Feature,,TSA,TISUA,,,
Point,73.221682,22.797769,Feature,Gujarat,TAS,Thasra,WR,"National Highway 59, Gujarat",
Point,81.5033135022,27.1026834977,Feature,,GHT,GHAGHARA GHAT,,,
Point,82.500127,26.938525000000002,Feature,,BV,BABHNAN,,,
Point,81.69873199999999,27.487001000000003,Feature,Uttar Pradesh,CLW,Chilwariya,NER,"Bahraich, Uttar Pradesh",
,,,Feature,,OKAC,OKAC,,,
Point,82.56115799999999,26.913411,Feature,,GAUR,GAUR,,,
Point,82.639707,26.882281000000003,Feature,,TH,TINICH,,,
Point,84.03310139999999,26.3104766,Feature,,BHTR,BHATPAR RANI,,,
Point,85.354709,26.034431,Feature,,TUR,TURKI,,,
Point,85.38359600000001,26.097367,Feature,,RD,RAM DAYALU NAGAR,,,
Point,79.306506,28.469954,Feature,,BTO,BHITAURA,,,
Point,79.34185199999999,28.433371,Feature,,PKRA,PARSA KHERA,,,
Point,79.42916573,28.3087958495,Feature,,CHTI,CHANETI,,,
Point,79.62578099999999,28.083668,Feature,,BLPU,BILPUR,,,
Point,79.674809,28.03708,Feature,,MK,MIRANPUR KATRA,,,
Point,79.71796182739999,27.988261374,Feature,,MILA,MILAKPUR HALT,,,
Point,79.741776,27.972984,Feature,,TLH,TILHAR,,,
Point,75.353696,11.911049,Feature,Kerala,CQL,CHIRAKKAL,SR,"Kannur district, Kerala",
Point,76.20943,10.535053999999999,Feature,,PNQ,PUNKUNNAM,,,
Point,76.207919,10.514790000000001,Feature,,TCR,THRISUR,,,
Point,76.932807,11.934891,Feature,Karnataka,CMNR,CHAMARAJANAGAR,SWR,"Chamarajnagar, Karnataka",
Point,76.637861,12.29844,Feature,Karnataka,CMJ,CHAMARAJAPURAM,SWR,"Mysore, Karnataka",
Point,77.649646,22.917359,Feature,,BKA,BARKHERA,,,
Point,77.587299,22.994912,Feature,,ODG,OBAIDULLA GANJ,,,
Point,72.944978,20.845167,Feature,Gujarat,ACL,ANCHELI,WR,"Navsari, Gujarat",
Point,70.290734,21.055196000000002,Feature,Gujarat,CVR,CHORVAD ROAD,WR,"Gadu, Gujarat",
